,time,open,high,low,close,volume,EMA8,EMA155,UpperBand,LowerBand,Trend,Velocity,Acceleration,wpr,wpr_lf,H,L,H_idx,L_idx,dir,last_H,last_L,H_wpr,L_wpr,BOS,H_raw,L_raw,H_tf,L_tf,H_idx_tf,L_idx_tf,dir_tf,last_H_tf,last_L_tf,low_since_H,high_since_L,swing_tf,swing_H_tf,swing_L_tf,ST_Long,ST_Short,KO_Long,KO_Short,Risk_Long,Risk_Short,Risk_Long_Adm,Risk_Short_Adm,signal,run-up,draw-down
2919,20260220  01:15:00,25406.0,26494.0,25245.0,25246.0,-1,25337.667293995448,25270.54364758787,25349.350986784215,25191.736308391526,-16.95382693976786,-0.054729205929366975,-0.03744083241341002,-98.65612648221344,-91.36163982430453,26494.0,,2919.0,2916.0,-1.0,26494.0,25279.0,-98.65612648221344,-0.0,DOWN,26494.0,,26494.0,,2919.0,2863.0,1,26494.0,25215.0,25245.0,26494.0,1279.0,1279.0,,25087.1,26494.0,158.90000000000146,1248.0,0.6294066386754396,4.94335736354274,True,False,SHORT,1248.0,4.0
3260,20260220  18:18:00,25502.0,25503.0,25489.0,25490.0,-1,25507.55336231228,25424.757027297866,25563.230164775163,25286.28388982057,28.341035605045704,0.001987232198260405,-0.001871003309895518,-51.08695652173913,-80.9820193637621,,,3258.0,3257.0,-1.0,25520.0,25513.0,-26.08695652173913,-22.82608695652174,DOWN,,,,,3214.0,3183.0,1,26661.0,25279.0,25362.0,26661.0,1382.0,,,25140.8,26661.0,349.2000000000007,1171.0,1.3699489996076921,4.593958415064732,True,False,SHORT,1081.0,213.0
3634,20260223  16:09:00,25383.0,25383.0,25374.0,25375.0,-1,25406.391054016614,25400.038002265897,25460.508043525635,25339.56796100616,8.180328841899387,-0.021606930266407486,-0.008857452268335985,-99.48979591836735,-88.93499308437067,25383.0,,3634.0,3632.0,-1.0,25383.0,25381.0,-99.48979591836735,-99.47089947089947,DOWN,,,,,3601.0,3539.0,1,25570.0,25284.0,25374.0,25570.0,286.0,,,25255.4,25570.0,119.59999999999854,195.0,0.471330049261078,0.7684729064039408,True,False,SHORT,130.0,216.0
4151,20260224  21:09:00,25327.0,25327.0,25324.0,25325.0,-1,25309.189469374385,25302.936581982212,25458.56020770171,25147.312956262715,11.860949567697643,-0.0023059512954411083,-0.0003646761976749569,-53.36322869955157,-59.61070559610705,,,4150.0,4148.0,-1.0,25328.0,25328.0,-52.46636771300449,-52.44444444444444,DOWN,,,,,4109.0,3911.0,1,25446.0,25159.0,25221.0,25446.0,287.0,,,25130.3,25446.0,194.70000000000073,121.0,0.7688055281342576,0.4777887462981244,True,False,SHORT,1136.0,121.0
4351,20260225  10:18:00,25293.0,25293.0,25288.0,25289.0,-1,25292.377665609063,25338.51202593919,25429.073466219474,25247.95058565891,-3.836477970644962,0.06101233046956881,-0.0035126854465333326,-93.46733668341709,-90.01536098310292,25293.0,,4351.0,4349.0,-1.0,25293.0,25293.0,-93.46733668341709,-91.4572864321608,DOWN,,,,,4320.0,4304.0,1,25475.0,25204.0,25276.0,25475.0,271.0,,,25176.9,25475.0,112.09999999999854,186.0,0.44327573253192515,0.7354976471983866,True,False,SHORT,55.0,68.0
4861,20260226  14:57:00,25550.0,25551.0,25544.0,25544.0,-1,25550.935911145374,25463.178273673373,25586.775695257627,25339.58085208912,23.965199525151302,0.007038294034799028,-0.0011344946103197277,-62.27106227106227,-76.03946441155743,,,4860.0,4856.0,-1.0,25554.0,25550.0,-60.07326007326007,-59.34065934065934,DOWN,,,,,4852.0,4849.0,1,25714.0,25441.0,25544.0,25714.0,273.0,,,25413.7,25714.0,130.29999999999927,170.0,0.5101002192295618,0.6655183213279048,True,False,SHORT,16.0,111.0
5192,20260227  10:39:00,25649.0,25651.0,25643.0,25644.0,-1,25646.66326396015,25607.869591540224,25810.461767905043,25405.277415175406,12.759187831360238,0.0045795179685597055,-0.0008710946217882383,-59.05511811023622,-71.82685253118122,25651.0,,5192.0,5189.0,-1.0,25651.0,25647.0,-59.05511811023622,-57.48031496062992,DOWN,,,,,5178.0,5137.0,1,25794.0,25533.0,25632.0,25794.0,261.0,,,25506.9,25794.0,137.09999999999854,150.0,0.5346279831539484,0.584932147870847,True,False,SHORT,7.0,556.0
5508,20260302  05:36:00,25236.0,25236.0,25095.0,25098.0,-1,25214.337633880223,25323.139389706754,25606.31551399106,25039.963265422448,-48.916535553197235,0.0020964464103004556,0.005195611113712429,-98.19277108433735,-98.58356940509915,25236.0,,5508.0,5506.0,-1.0,25236.0,25236.0,-98.19277108433735,-15.24390243902439,DOWN,,,,,5498.0,5430.0,1,25261.0,25088.0,25095.0,25261.0,173.0,,,25070.7,25261.0,27.299999999999272,163.0,0.10877360745875876,0.6494541397720934,True,False,SHORT,138.0,10.0
5545,20260302  07:27:00,25174.0,25177.0,25075.0,25079.0,-1,25167.766063201823,25266.497303818127,25508.764024846783,25024.23058278947,-48.02073606405801,0.0011588229882312884,0.003877249345790015,-97.61904761904762,-99.44367176634213,25177.0,,5545.0,5538.0,-1.0,25177.0,25088.0,-97.61904761904762,-35.46511627906977,DOWN,,,,,5498.0,5430.0,1,25261.0,25088.0,25075.0,25261.0,173.0,,,25070.7,25261.0,8.299999999999272,182.0,0.03309541847760785,0.7257067666174888,True,False,SHORT,113.0,155.0
5638,20260302  12:06:00,25096.0,25096.0,25065.0,25065.0,-1,25088.610336160353,25124.369710059218,25309.760319838486,24938.97910027995,-41.724565749913346,-0.007370169417169334,0.0007428700082477936,-52.11267605633803,-83.79310344827586,,,5637.0,5636.0,-1.0,25098.0,25071.0,-27.388535031847134,-29.936305732484076,DOWN,,,,,5604.0,5591.0,1,25139.0,24924.0,25047.0,25139.0,215.0,,,24902.5,25139.0,162.5,74.0,0.6483143826052264,0.2952323957709954,True,False,SHORT,45.0,216.0
