,time,open,high,low,close,volume,EMA8,EMA155,UpperBand,LowerBand,Trend,Velocity,Acceleration,wpr,wpr_lf,H,L,H_idx,L_idx,dir,last_H,last_L,H_wpr,L_wpr,BOS,H_raw,L_raw,H_tf,L_tf,H_idx_tf,L_idx_tf,dir_tf,last_H_tf,last_L_tf,low_since_H,high_since_L,swing_tf,swing_H_tf,swing_L_tf,ST_Long,ST_Short,KO_Long,KO_Short,Risk_Long,Risk_Short,Risk_Long_Adm,Risk_Short_Adm,signal,run-up,draw-down
9366,20260313  10:51:00,23641.0,23662.0,23639.0,23654.0,-1,23635.926190080423,23715.913852154117,23922.31326544028,23509.514438867955,-27.060077555312322,0.0020606109289130433,-0.0024515061011173753,-18.53932584269663,-68.60795454545455,,,9361.0,9362.0,1.0,23647.0,23605.0,-31.182795698924732,-40.43715846994535,UP,,,,,9196.0,9338.0,-1,23892.0,23509.0,23509.0,23687.0,383.0,,,23470.7,23930.3,183.29999999999927,276.2999999999993,0.7749217891265716,1.1680899636425097,True,False,LONG,340.0,21.0
9602,20260316  01:48:00,23743.0,23761.0,23743.0,23757.0,-1,23738.859544411487,23674.222335838276,23837.055089599875,23511.389582076677,-16.990861230218826,-0.037271065474692534,-0.0017844837189996826,-9.507042253521126,-42.24598930481283,,,9597.0,9601.0,1.0,23749.0,23740.0,-12.32394366197183,-14.43661971830986,UP,,,,,9591.0,9589.0,1,23784.0,23500.0,23627.0,23784.0,284.0,,,23471.6,23784.0,285.40000000000146,27.0,1.2013301342762195,0.11365071347392347,True,False,LONG,27.0,78.0
9658,20260316  04:36:00,23721.0,23725.0,23720.0,23725.0,-1,23704.245098027357,23688.764553852918,23795.175698244177,23582.35340946166,-4.7493642590049285,-0.04570109142004103,-0.007640615619438511,-0.0,-54.45344129554656,,23720.0,9656.0,9658.0,1.0,23722.0,23720.0,-5.2631578947368425,-0.0,UP,,,,,9591.0,9638.0,-1,23784.0,23668.0,23627.0,23725.0,116.0,,,23611.3,23795.6,113.70000000000073,70.59999999999854,0.47924130663856995,0.29757639620652704,True,False,LONG,67.0,32.0
9819,20260316  12:39:00,23730.0,23741.0,23720.0,23740.0,-1,23721.962874910067,23682.057935584467,23795.100241303826,23569.01562986511,-5.670344183840208,-0.0543902575305738,-0.008945946969453972,-0.5263157894736842,-51.417004048582996,,,9814.0,9817.0,1.0,23737.0,23690.0,-8.947368421052632,-13.68421052631579,UP,,,,,9725.0,9785.0,-1,23792.0,23551.0,23551.0,23741.0,241.0,,,23526.9,23816.1,213.09999999999854,76.09999999999854,0.8976411120471716,0.3205560235888734,True,False,LONG,185.0,20.0
9896,20260316  16:30:00,23890.0,23907.0,23887.0,23905.0,-1,23881.75297365041,23782.269992554768,23983.889532474273,23580.650452635262,24.87443731107749,0.012141491251015728,0.0009080977353758887,-14.492753623188406,-18.016194331983804,,,9893.0,9895.0,1.0,23896.0,23879.0,-26.81159420289855,-25.36231884057971,UP,,,,,9869.0,9785.0,1,23925.0,23551.0,23787.0,23925.0,374.0,,,23513.6,23925.0,391.40000000000146,20.0,1.637314369378797,0.08366450533361222,True,False,LONG,12.0,114.0
9947,20260316  19:03:00,23817.0,23829.0,23815.0,23826.0,-1,23812.00644941186,23802.89493249657,23930.406706270307,23675.38315872283,18.055495596869424,-0.00945805418916401,0.0023380404596611212,-43.02325581395349,-34.008097165991906,,,9941.0,9942.0,1.0,23822.0,23782.0,-74.80916030534351,-92.85714285714286,UP,,,,,9869.0,9918.0,-1,23925.0,23777.0,23777.0,23845.0,148.0,,,23762.2,23939.8,63.79999999999927,113.79999999999927,0.26777469990766084,0.4776294803995605,True,False,LONG,70.0,11.0
10033,20260317  02:30:00,23788.0,23802.0,23785.0,23800.0,-1,23780.732478587994,23811.161851382647,23877.805505106375,23744.51819765892,5.229786730435946,-0.03617956907930581,0.007112461054052825,-49.504950495049506,-39.27125506072875,,,10030.0,10031.0,1.0,23780.0,23772.0,-73.07692307692308,-73.26732673267327,UP,,,,,9969.0,9918.0,1,23896.0,23777.0,23749.0,23896.0,119.0,,,23765.1,23896.0,34.900000000001455,96.0,0.146638655462191,0.40336134453781514,True,False,LONG,10.0,34.0
10068,20260317  04:15:00,23782.0,23793.0,23781.0,23793.0,-1,23779.93078529943,23802.134221184966,23859.788801476174,23744.47964089376,0.24076667569965968,-0.2716426321983159,0.0044725264433273515,-36.170212765957444,-40.688259109311744,,,10062.0,10063.0,1.0,23784.0,23763.0,-69.0909090909091,-83.6734693877551,UP,,,,,9969.0,9918.0,1,23896.0,23777.0,23749.0,23896.0,119.0,,,23765.1,23896.0,27.900000000001455,103.0,0.11726137939730784,0.4329004329004329,True,False,LONG,5.0,39.0
10094,20260317  05:33:00,23773.0,23777.0,23772.0,23777.0,-1,23767.983002398392,23793.71199609366,23858.025976870114,23729.39801531721,-2.877252198174588,0.031044008387343697,-0.011288090069748784,-45.65217391304348,-43.927125506072876,,,10089.0,10091.0,1.0,23769.0,23759.0,-68.08510638297872,-80.85106382978724,UP,,,,,9969.0,9918.0,1,23896.0,23777.0,23749.0,23896.0,119.0,,,23765.1,23896.0,11.900000000001455,119.0,0.05004836606805508,0.5004836606804896,True,False,LONG,16.0,32.0
10189,20260317  10:18:00,23752.0,23787.0,23746.0,23784.0,-1,23756.387808703825,23743.77446523692,23834.64466619858,23652.904264275257,-11.053714718026463,-0.02361506124125005,-0.004040444754613775,-2.7522935779816513,-42.51012145748988,,,10186.0,10187.0,1.0,23778.0,23742.0,-6.0,-32.0,UP,,,,,9969.0,10126.0,-1,23896.0,23630.0,23630.0,23787.0,266.0,,,23603.4,23922.6,180.59999999999854,138.59999999999854,0.7593340060544843,0.5827447023208819,True,False,LONG,256.0,38.0
